job_id,title,city,experience_level,employment_type,salary_min,salary_max,skills,source_platform,salary_avg
55,QA Engineer,Bangalore,Senior,Contract,2098866,2184438,"Manual Testing, Selenium, Automation, SQL, Python",LinkedIn,2141652.0
56,Software Engineer,Chennai,Mid,Internship,745886,993020,"SQL, Java, Python, Git, React",Indeed,869453.0
57,Machine Learning Engineer,Hyderabad,Entry,Full-time,364823,467084,"AWS, TensorFlow",LinkedIn,415953.5
58,Software Engineer,Gurgaon,Entry,Contract,357138,529043,"SQL, Python, React, Java",LinkedIn,443090.5
59,Data Engineer,Hyderabad,Mid,Internship,901883,1129445,"AWS, SQL, Python, ETL, Spark",LinkedIn,1015664.0
60,Web Developer,Remote,Senior,Contract,1286128,1427145,"JavaScript, HTML, Node.js, CSS, React",LinkedIn,1356636.5
61,Business Analyst,Hyderabad,Mid,Internship,933229,1216950,"Excel, Communication, SQL, Tableau, Power BI",Glassdoor,1075089.5
62,Database Administrator,Remote,Mid,Internship,1046542,1160897,"Backup & Recovery, Linux",Indeed,1103719.5
63,Software Engineer,Remote,Mid,Internship,615047,794626,"Python, Git, Java, React",Glassdoor,704836.5
64,Web Developer,Delhi,Mid,Contract,605322,790752,"HTML, CSS, JavaScript",Indeed,698037.0
65,Business Analyst,Kolkata,Mid,Contract,849609,1068928,"Communication, SQL, Tableau, Excel, Power BI",Naukri,959268.5
66,Business Analyst,Mumbai,Senior,Contract,1973891,2147953,"Communication, Power BI, Excel, Tableau",Indeed,2060922.0
67,Web Developer,Delhi,Mid,Full-time,978160,1078644,"HTML, CSS, Node.js, JavaScript",Naukri,1028402.0
68,Database Administrator,Remote,Mid,Full-time,1036537,1137423,"MySQL, Backup & Recovery, SQL, Oracle",Indeed,1086980.0
69,Data Analyst,Kolkata,Senior,Internship,1295453,1359746,"Excel, Python, SQL, Power BI",Naukri,1327599.5
70,QA Engineer,Gurgaon,Mid,Internship,778628,876957,"SQL, Python",Glassdoor,827792.5
71,Data Scientist,Noida,Entry,Full-time,451262,666267,"SQL, Pandas",Glassdoor,558764.5
72,QA Engineer,Hyderabad,Mid,Full-time,892590,1142984,"Automation, Manual Testing, SQL, Python, Selenium",Naukri,1017787.0
73,Database Administrator,Remote,Mid,Internship,898125,1110923,"Oracle, SQL",Glassdoor,1004524.0
74,Software Engineer,Mumbai,Senior,Contract,1370262,1461433,"Python, Java, Git",Indeed,1415847.5
75,Data Analyst,Gurgaon,Mid,Internship,617112,727792,"Power BI, Python, SQL, Tableau",Glassdoor,672452.0
76,Web Developer,Remote,Senior,Internship,1440703,1633456,"CSS, JavaScript, HTML",Naukri,1537079.5
77,Data Scientist,Pune,Entry,Contract,496334,762403,"Statistics, Python, SQL, Machine Learning",Indeed,629368.5
78,Business Analyst,Kolkata,Mid,Internship,642174,848945,"Communication, Power BI",Glassdoor,745559.5
79,QA Engineer,Bangalore,Mid,Full-time,953526,1222667,"SQL, Selenium",LinkedIn,1088096.5
80,Data Engineer,Kolkata,Mid,Internship,695152,898592,"AWS, Python, SQL, ETL, Spark",Glassdoor,796872.0
81,Machine Learning Engineer,Hyderabad,Mid,Internship,815820,1047662,"PyTorch, SQL, AWS, Python, TensorFlow",Naukri,931741.0
82,Data Scientist,Delhi,Mid,Full-time,1005037,1160989,"Pandas, Statistics",Indeed,1083013.0
83,Business Analyst,Mumbai,Entry,Contract,498297,678973,"SQL, Excel, Communication, Tableau, Power BI",Indeed,588635.0
84,Database Administrator,Gurgaon,Senior,Full-time,1701843,1937908,"Backup & Recovery, SQL, Oracle",LinkedIn,1819875.5
85,Business Analyst,Mumbai,Entry,Internship,330793,550586,"Communication, Power BI, Tableau",LinkedIn,440689.5
86,Web Developer,Gurgaon,Mid,Full-time,839487,1033997,"React, CSS, JavaScript",Glassdoor,936742.0
87,Cloud Engineer,Pune,Senior,Internship,2070197,2209293,"AWS, Docker, Kubernetes, Azure",LinkedIn,2139745.0
88,QA Engineer,Gurgaon,Senior,Internship,2329485,2506452,"SQL, Python, Manual Testing, Automation",Naukri,2417968.5
89,Software Engineer,Mumbai,Senior,Full-time,2061457,2122898,"Git, React, Python, Java",Glassdoor,2092177.5
90,Database Administrator,Pune,Entry,Full-time,415423,491561,"SQL, MySQL, Linux, Oracle, Backup & Recovery",Indeed,453492.0
91,Database Administrator,Chennai,Mid,Contract,642108,915393,"Oracle, Linux, MySQL, Backup & Recovery",Glassdoor,778750.5
92,Cloud Engineer,Remote,Entry,Full-time,465455,694866,"Azure, AWS, Python, Kubernetes",LinkedIn,580160.5
93,Data Scientist,Pune,Mid,Full-time,624112,759144,"Machine Learning, Pandas",Indeed,691628.0
94,Machine Learning Engineer,Pune,Mid,Contract,816033,1014387,"TensorFlow, AWS, Python",Naukri,915210.0
95,QA Engineer,Remote,Mid,Internship,1078585,1281456,"Manual Testing, Python, SQL",Naukri,1180020.5
96,Web Developer,Delhi,Mid,Internship,1072493,1197893,"HTML, React, CSS",LinkedIn,1135193.0
97,QA Engineer,Noida,Mid,Internship,1043182,1172381,"Python, Automation, Selenium",Indeed,1107781.5
98,Software Engineer,Remote,Mid,Contract,755122,988433,"Java, Git, Python, React",Indeed,871777.5
99,QA Engineer,Bangalore,Senior,Internship,1682593,1891731,"Manual Testing, Automation, SQL, Python",Glassdoor,1787162.0
100,Data Engineer,Hyderabad,Senior,Internship,2124473,2183219,"SQL, Python, Spark, ETL",LinkedIn,2153846.0
101,Business Analyst,Mumbai,Entry,Contract,395907,585066,"Excel, Power BI, Tableau, Communication",Naukri,490486.5
102,Machine Learning Engineer,Gurgaon,Entry,Full-time,497696,606839,"AWS, PyTorch, Python, TensorFlow, SQL",LinkedIn,552267.5
103,Web Developer,Hyderabad,Senior,Internship,1749792,1953030,"JavaScript, HTML, Node.js, React, CSS",Glassdoor,1851411.0
104,Data Analyst,Kolkata,Senior,Contract,1664240,1884018,"Python, Power BI",Indeed,1774129.0
105,Business Analyst,Pune,Entry,Full-time,379787,558925,"SQL, Excel",LinkedIn,469356.0
106,Cloud Engineer,Noida,Entry,Internship,475763,774637,"Python, Azure, Kubernetes, AWS, Docker",Glassdoor,625200.0
107,QA Engineer,Delhi,Mid,Contract,794264,901219,"Python, Manual Testing, Automation, Selenium, SQL",LinkedIn,847741.5
108,Cloud Engineer,Chennai,Senior,Internship,1778565,1878322,"Kubernetes, AWS",LinkedIn,1828443.5
109,Software Engineer,Remote,Senior,Full-time,1899419,2013269,"React, Python, Java",LinkedIn,1956344.0
110,Cloud Engineer,Remote,Entry,Full-time,386129,639125,"Python, AWS, Azure",Naukri,512627.0
111,Data Engineer,Kolkata,Entry,Full-time,328816,552108,"SQL, Python",Indeed,440462.0
112,Machine Learning Engineer,Remote,Entry,Full-time,345677,465241,"TensorFlow, SQL",Indeed,405459.0
113,Cloud Engineer,Hyderabad,Entry,Internship,394906,579448,"Kubernetes, Azure",Glassdoor,487177.0
114,QA Engineer,Kolkata,Entry,Internship,468647,526812,"Python, Automation",Indeed,497729.5
115,Business Analyst,Hyderabad,Senior,Contract,2130217,2199482,"Power BI, Excel",Glassdoor,2164849.5
116,Data Scientist,Delhi,Entry,Internship,456602,645684,"Statistics, Pandas, Python, Machine Learning",Indeed,551143.0
117,Cloud Engineer,Mumbai,Senior,Internship,1679185,1837663,"Kubernetes, Python, Azure, AWS",Glassdoor,1758424.0
118,Machine Learning Engineer,Chennai,Mid,Internship,1099957,1189970,"Python, AWS, SQL, PyTorch, TensorFlow",Indeed,1144963.5
119,Data Scientist,Chennai,Senior,Contract,1325789,1529527,"Python, Statistics, SQL, Machine Learning",Naukri,1427658.0
120,Data Analyst,Remote,Mid,Internship,654316,855813,"Excel, Python, SQL",Indeed,755064.5
121,Data Scientist,Kolkata,Mid,Full-time,999824,1122848,"Statistics, Python, Machine Learning",Indeed,1061336.0
122,Web Developer,Pune,Entry,Contract,499861,630859,"JavaScript, HTML, React, Node.js",Indeed,565360.0
123,QA Engineer,Noida,Senior,Full-time,1264292,1338345,"Python, Automation, Manual Testing",LinkedIn,1301318.5
124,Machine Learning Engineer,Chennai,Entry,Contract,385035,638677,"Python, TensorFlow",Indeed,511856.0
125,Data Engineer,Bangalore,Senior,Internship,2129275,2352798,"AWS, Spark, SQL, ETL, Python",LinkedIn,2241036.5
126,Cloud Engineer,Chennai,Entry,Full-time,374251,602041,"Python, Docker, AWS, Kubernetes, Azure",Glassdoor,488146.0
127,QA Engineer,Bangalore,Entry,Internship,355373,606529,"SQL, Automation, Manual Testing",Naukri,480951.0
128,Data Scientist,Gurgaon,Entry,Full-time,333865,483534,"Pandas, Machine Learning, Python",Glassdoor,408699.5
129,Business Analyst,Bangalore,Senior,Full-time,2164174,2455651,"Power BI, Communication",Glassdoor,2309912.5
130,QA Engineer,Noida,Mid,Full-time,812353,867820,"Manual Testing, Python, SQL, Automation",Indeed,840086.5
131,Data Scientist,Hyderabad,Mid,Internship,908738,1063713,"Statistics, Machine Learning",Naukri,986225.5
132,Machine Learning Engineer,Chennai,Entry,Full-time,433820,649816,"AWS, TensorFlow",Naukri,541818.0
133,Machine Learning Engineer,Pune,Mid,Full-time,676778,793878,"TensorFlow, AWS, PyTorch",Naukri,735328.0
134,Data Scientist,Gurgaon,Entry,Contract,499197,701101,"Pandas, Machine Learning, Statistics, SQL, Python",Glassdoor,600149.0
135,Database Administrator,Gurgaon,Entry,Contract,379382,638135,"Oracle, SQL, MySQL, Linux",Glassdoor,508758.5
136,Web Developer,Gurgaon,Mid,Full-time,793324,1061348,"HTML, Node.js, JavaScript, CSS",LinkedIn,927336.0
137,Database Administrator,Kolkata,Senior,Internship,2398850,2619725,"Backup & Recovery, Linux, Oracle",LinkedIn,2509287.5
138,Data Engineer,Gurgaon,Entry,Internship,487253,559359,"Python, SQL, ETL",LinkedIn,523306.0
139,Database Administrator,Kolkata,Mid,Internship,795481,1086112,"Linux, Oracle, MySQL, SQL",Naukri,940796.5
140,Machine Learning Engineer,Chennai,Entry,Contract,477833,629168,"PyTorch, TensorFlow, SQL, Python",LinkedIn,553500.5
141,QA Engineer,Pune,Senior,Internship,2021995,2105798,"SQL, Python",Indeed,2063896.5
142,Machine Learning Engineer,Kolkata,Entry,Contract,475756,636749,"Python, PyTorch, TensorFlow, AWS",LinkedIn,556252.5
143,Software Engineer,Gurgaon,Mid,Full-time,672123,762740,"SQL, Java",Naukri,717431.5
144,Cloud Engineer,Kolkata,Senior,Contract,1906246,2185987,"Python, Kubernetes, AWS",LinkedIn,2046116.5
145,Data Engineer,Remote,Entry,Contract,414733,476186,"ETL, SQL, AWS, Spark, Python",Naukri,445459.5
146,Software Engineer,Mumbai,Senior,Internship,1606881,1753308,"Git, SQL, Python, React, Java",Indeed,1680094.5
147,Software Engineer,Pune,Senior,Full-time,2207871,2487015,"React, Java, SQL, Git",Indeed,2347443.0
148,Web Developer,Pune,Entry,Internship,434572,523198,"HTML, CSS, React, JavaScript, Node.js",Indeed,478885.0
149,Business Analyst,Noida,Entry,Full-time,401231,472623,"Excel, SQL, Tableau, Communication",Indeed,436927.0
150,Machine Learning Engineer,Pune,Entry,Internship,423851,656322,"SQL, AWS, PyTorch",LinkedIn,540086.5
151,Data Analyst,Bangalore,Entry,Full-time,339195,533060,"SQL, Power BI, Tableau, Excel, Python",Indeed,436127.5
152,Data Analyst,Noida,Entry,Full-time,329060,598392,"Tableau, SQL, Power BI, Python, Excel",Glassdoor,463726.0
153,Web Developer,Bangalore,Mid,Full-time,899192,1058392,"HTML, JavaScript, Node.js",Indeed,978792.0
154,Cloud Engineer,Kolkata,Senior,Internship,2185944,2247356,"Docker, Python, Kubernetes, AWS, Azure",LinkedIn,2216650.0
155,Data Scientist,Mumbai,Mid,Contract,985449,1233807,"SQL, Python, Pandas, Machine Learning",LinkedIn,1109628.0
156,Data Engineer,Gurgaon,Senior,Contract,1582264,1844993,"Python, AWS, Spark",Glassdoor,1713628.5
157,Web Developer,Bangalore,Entry,Full-time,382731,677408,"Node.js, React, JavaScript, CSS",Naukri,530069.5
158,Web Developer,Mumbai,Entry,Internship,312531,589494,"JavaScript, HTML, CSS, Node.js",Indeed,451012.5
159,Business Analyst,Gurgaon,Senior,Internship,1591784,1771860,"Power BI, Tableau, SQL, Excel, Communication",Glassdoor,1681822.0
160,Business Analyst,Pune,Senior,Internship,1415163,1486152,"Power BI, Tableau, Excel, Communication",Indeed,1450657.5
161,Data Engineer,Gurgaon,Senior,Internship,1288825,1529355,"Spark, AWS, SQL, Python",Indeed,1409090.0
162,Data Scientist,Noida,Senior,Contract,1535516,1835284,"SQL, Statistics",Indeed,1685400.0
163,Data Analyst,Hyderabad,Entry,Contract,396030,540965,"Tableau, SQL, Power BI, Python, Excel",Naukri,468497.5
164,Machine Learning Engineer,Gurgaon,Mid,Contract,672191,860985,"SQL, PyTorch, AWS, TensorFlow",LinkedIn,766588.0
165,Software Engineer,Bangalore,Entry,Internship,435723,587169,"SQL, React",Naukri,511446.0
166,Database Administrator,Remote,Entry,Contract,428765,531240,"MySQL, SQL",Indeed,480002.5
167,Database Administrator,Gurgaon,Entry,Contract,383778,608848,"SQL, Backup & Recovery, MySQL, Oracle",LinkedIn,496313.0
168,Data Engineer,Kolkata,Mid,Full-time,705371,963006,"SQL, AWS, Python",Naukri,834188.5
169,Machine Learning Engineer,Remote,Senior,Internship,2356887,2440905,"Python, PyTorch",Indeed,2398896.0
170,Business Analyst,Gurgaon,Senior,Internship,1354666,1437519,"SQL, Communication, Excel, Power BI",Glassdoor,1396092.5
171,Data Engineer,Remote,Senior,Full-time,2107266,2289088,"Python, SQL",Naukri,2198177.0
172,Web Developer,Pune,Entry,Contract,359105,499812,"HTML, JavaScript, Node.js, CSS",Indeed,429458.5
173,Data Engineer,Delhi,Senior,Contract,1553655,1758794,"SQL, ETL, AWS",LinkedIn,1656224.5
174,Data Analyst,Hyderabad,Entry,Contract,451197,570574,"Tableau, Python, Power BI",LinkedIn,510885.5
175,Data Analyst,Kolkata,Mid,Contract,758384,934985,"Python, Power BI, Excel",Indeed,846684.5
176,Data Scientist,Bangalore,Senior,Internship,2071621,2248564,"SQL, Machine Learning, Statistics, Python, Pandas",Naukri,2160092.5
177,Machine Learning Engineer,Chennai,Senior,Full-time,1977079,2162077,"PyTorch, TensorFlow",Glassdoor,2069578.0
178,Database Administrator,Delhi,Entry,Full-time,336930,412308,"Backup & Recovery, Linux",Glassdoor,374619.0
179,QA Engineer,Mumbai,Mid,Internship,1089554,1290991,"Manual Testing, Automation, Python, SQL",Naukri,1190272.5
180,Database Administrator,Gurgaon,Mid,Full-time,1095574,1248660,"MySQL, Oracle, Backup & Recovery, Linux, SQL",LinkedIn,1172117.0
181,Data Analyst,Gurgaon,Mid,Internship,881380,933523,"Python, Excel",Glassdoor,907451.5
182,Web Developer,Chennai,Senior,Internship,1294880,1449890,"Node.js, CSS",Glassdoor,1372385.0
183,Machine Learning Engineer,Delhi,Senior,Internship,2257500,2425557,"AWS, Python, SQL, PyTorch",LinkedIn,2341528.5
184,Business Analyst,Chennai,Mid,Full-time,704363,912295,"Tableau, SQL, Communication, Power BI, Excel",Indeed,808329.0
185,Machine Learning Engineer,Kolkata,Mid,Full-time,917855,1201984,"PyTorch, AWS, Python",Glassdoor,1059919.5
186,Business Analyst,Delhi,Senior,Contract,2268947,2458496,"Tableau, Power BI, Excel, SQL, Communication",Indeed,2363721.5
187,Machine Learning Engineer,Hyderabad,Senior,Contract,1845247,2104111,"AWS, SQL",Glassdoor,1974679.0
188,Web Developer,Remote,Senior,Contract,1307699,1510666,"CSS, React, HTML, JavaScript, Node.js",Naukri,1409182.5
189,QA Engineer,Hyderabad,Senior,Full-time,2124924,2257156,"Manual Testing, Python, SQL, Selenium, Automation",Naukri,2191040.0
190,Cloud Engineer,Gurgaon,Senior,Contract,1489579,1675548,"Python, Docker, Kubernetes",LinkedIn,1582563.5
191,Database Administrator,Noida,Senior,Full-time,2163984,2453091,"Oracle, Backup & Recovery, Linux, MySQL",Indeed,2308537.5
192,QA Engineer,Mumbai,Mid,Internship,892598,1020847,"SQL, Automation, Python",Naukri,956722.5
193,Software Engineer,Gurgaon,Senior,Internship,1931493,2128421,"SQL, Java, React, Python",Indeed,2029957.0
194,Business Analyst,Pune,Mid,Full-time,750801,988008,"Power BI, Communication",Indeed,869404.5
195,Web Developer,Gurgaon,Senior,Full-time,2329479,2450554,"CSS, HTML, JavaScript, React",Naukri,2390016.5
196,Software Engineer,Kolkata,Entry,Contract,361036,424796,"Git, SQL",Naukri,392916.0
197,Database Administrator,Pune,Entry,Contract,341403,498071,"Linux, MySQL, Oracle, Backup & Recovery, SQL",LinkedIn,419737.0
198,Data Analyst,Remote,Entry,Contract,493642,733202,"Excel, Python",Naukri,613422.0
199,Data Engineer,Noida,Entry,Full-time,496346,775011,"Python, Spark, SQL, AWS",Glassdoor,635678.5
200,Machine Learning Engineer,Gurgaon,Mid,Full-time,1046200,1228376,"PyTorch, TensorFlow, Python, SQL, AWS",Glassdoor,1137288.0
201,Database Administrator,Delhi,Senior,Full-time,1906975,2164269,"Oracle, MySQL, SQL, Linux",Naukri,2035622.0
202,Business Analyst,Chennai,Senior,Internship,1400037,1498476,"Communication, Power BI, SQL",LinkedIn,1449256.5
203,Data Analyst,Noida,Mid,Internship,995185,1115175,"Power BI, SQL, Excel, Tableau",Naukri,1055180.0
204,Software Engineer,Hyderabad,Entry,Internship,341868,498145,"Java, SQL, Python, React",Glassdoor,420006.5
205,Software Engineer,Gurgaon,Entry,Internship,496014,704804,"Git, React, SQL, Java",Naukri,600409.0
206,Software Engineer,Remote,Senior,Contract,2136898,2325355,"Java, React, Git, SQL",LinkedIn,2231126.5
207,QA Engineer,Pune,Senior,Internship,2291235,2457060,"Manual Testing, Python",Naukri,2374147.5
208,Data Scientist,Gurgaon,Senior,Internship,1476707,1661251,"Statistics, Python, Machine Learning, SQL, Pandas",LinkedIn,1568979.0
209,Data Analyst,Delhi,Mid,Contract,714243,915843,"SQL, Python",LinkedIn,815043.0
210,Machine Learning Engineer,Hyderabad,Senior,Full-time,2190005,2248324,"SQL, TensorFlow, Python, AWS",LinkedIn,2219164.5
211,Machine Learning Engineer,Gurgaon,Mid,Internship,642074,871047,"PyTorch, Python, SQL",Glassdoor,756560.5
212,Cloud Engineer,Kolkata,Mid,Contract,716753,985596,"AWS, Docker",Naukri,851174.5
213,Database Administrator,Kolkata,Senior,Contract,1995400,2261238,"MySQL, Linux, Oracle",Glassdoor,2128319.0
214,Data Engineer,Mumbai,Mid,Full-time,1024399,1247465,"Spark, Python, AWS, ETL, SQL",LinkedIn,1135932.0
215,Data Scientist,Bangalore,Senior,Contract,1302081,1416236,"Statistics, Pandas",Glassdoor,1359158.5
216,Software Engineer,Mumbai,Senior,Full-time,2256746,2382574,"React, SQL, Git",LinkedIn,2319660.0
217,QA Engineer,Chennai,Senior,Internship,1500438,1723508,"Python, SQL, Manual Testing",Naukri,1611973.0
218,Data Analyst,Remote,Senior,Contract,2095904,2291616,"SQL, Power BI, Python, Excel, Tableau",Naukri,2193760.0
219,Business Analyst,Pune,Mid,Internship,696405,944170,"Excel, Tableau, Communication, SQL, Power BI",Indeed,820287.5
220,Data Analyst,Noida,Senior,Contract,2311473,2396624,"Excel, Power BI, SQL, Tableau, Python",Glassdoor,2354048.5
221,Database Administrator,Hyderabad,Mid,Full-time,740751,889623,"SQL, MySQL",Naukri,815187.0
222,QA Engineer,Kolkata,Senior,Internship,1638072,1915999,"SQL, Selenium, Python, Automation",Naukri,1777035.5
223,Data Scientist,Gurgaon,Senior,Contract,1628895,1782869,"Pandas, Machine Learning, SQL",Naukri,1705882.0
224,Business Analyst,Kolkata,Mid,Internship,737133,881411,"Communication, SQL, Power BI, Excel, Tableau",Indeed,809272.0
225,Software Engineer,Chennai,Mid,Full-time,894924,1171438,"Python, Java, React",Glassdoor,1033181.0
226,Cloud Engineer,Remote,Senior,Internship,1519629,1621059,"Azure, Kubernetes, Docker, AWS",Glassdoor,1570344.0
227,Database Administrator,Chennai,Senior,Internship,2228853,2399656,"Backup & Recovery, MySQL, SQL",Indeed,2314254.5
228,Cloud Engineer,Pune,Mid,Contract,617733,887689,"AWS, Python",LinkedIn,752711.0
229,Business Analyst,Mumbai,Entry,Contract,339591,391987,"Tableau, Communication, Excel",LinkedIn,365789.0
230,Data Analyst,Remote,Senior,Contract,2223104,2277227,"Tableau, Python",Glassdoor,2250165.5
231,Data Analyst,Kolkata,Entry,Contract,375153,429646,"Excel, SQL, Python, Power BI, Tableau",Indeed,402399.5
232,Software Engineer,Kolkata,Senior,Internship,1760620,2019007,"Java, SQL, Python, Git, React",Indeed,1889813.5
233,Software Engineer,Hyderabad,Mid,Full-time,812482,961903,"React, Git, Java, SQL, Python",LinkedIn,887192.5
234,Data Scientist,Noida,Mid,Contract,1049818,1124816,"SQL, Pandas",Indeed,1087317.0
235,QA Engineer,Delhi,Mid,Full-time,958837,1251473,"Automation, Selenium, Python, Manual Testing",LinkedIn,1105155.0
236,Data Analyst,Remote,Entry,Contract,404410,697908,"Power BI, Excel",Naukri,551159.0
237,QA Engineer,Remote,Entry,Contract,441705,578665,"Manual Testing, Selenium, SQL, Automation, Python",Glassdoor,510185.0
238,Data Scientist,Mumbai,Mid,Internship,917282,1168872,"Machine Learning, Python, Pandas, SQL, Statistics",LinkedIn,1043077.0
